,start,end,who_said,line,similar_line,similarity,similarity_category
202,"00:16:59,920","00:17:01,490",Natasha Romanoff,Are you sure he's gonna be okay?,You sure he's going to be okay,0.87,80% - 89%
203,"00:17:02,800","00:17:05,160",Natasha Romanoff,Pretending to need this guy really brings the team together.,Pretending to need this guy really brings the team together,1.0,100%
204,"00:17:05,280","00:17:07,760",Dr. Helen Cho,There's no possibility of deterioration.,There's no possibility of deterioration,1.0,100%
205,"00:17:07,960","00:17:11,043",Dr. Helen Cho,The nanomolecular functionality is instantaneous.,The nanomolecular functionality is instantaneous,1.0,100%
206,"00:17:11,160","00:17:13,200",Dr. Helen Cho,His cells don't know they're bonding with simulacra.,His cells don't know they're bonding with simulacrum,1.0,100%
207,"00:17:13,280","00:17:15,169",Bruce Banner,She's creating tissue.,She's creating tissue,1.0,100%
208,"00:17:15,280","00:17:19,406",Dr. Helen Cho,"If you brought him to my lab, the Regeneration Cradle could do this in 20 minutes.","If you brought him to my lab, the regeneration Cradle could do this in twenty minutes",0.98,90% - 99%
209,"00:17:19,520","00:17:21,443",Tony Stark,He's flatlining. Call it. Time?,It's play time,0.83,80% - 89%
210,"00:17:21,640","00:17:24,007",Clint Barton,"No, no, no, I'm gonna live forever.","No, no, no",0.86,80% - 89%
211,"00:17:24,120","00:17:27,131",Clint Barton,I'm gonna be made of plastic.,I'm gonna be made of plastic,1.0,100%
212,"00:17:24,120","00:17:27,131",Tony Stark,Here's your beverage.,Here's your beverage,1.0,100%
213,"00:17:27,240","00:17:28,969",Dr. Helen Cho,"You'll be made of you, Mr Barton.","You'll be made of you, Mr",0.99,90% - 99%
214,"00:17:29,120","00:17:30,690",Dr. Helen Cho,Your own girlfriend won't be able to tell the difference.,Your own girlfriend won't be able to tell the difference,1.0,100%
215,"00:17:30,800","00:17:31,926",Clint Barton,I don't have a girlfriend.,"Well, I don't have a girlfriend",0.98,90% - 99%
216,"00:17:32,040","00:17:33,326",Dr. Helen Cho,That I can't fix.,That I can't fix,1.0,100%
217,"00:17:34,160","00:17:36,128",Dr. Helen Cho,"This is the next thing, Tony.","This is the next thing, Tony",1.0,100%
218,"00:17:36,320","00:17:38,440",Dr. Helen Cho,Your clunky metal suits are gonna be left in the dust.,Your clunky metal suits are going to be left in the dust,0.9,90% - 99%
219,"00:17:38,480","00:17:40,209",Tony Stark,That is exactly the plan.,"Well, that is exactly the plan",0.98,90% - 99%
220,"00:17:41,160","00:17:44,004",Tony Stark,"And, Helen, I expect to see you at the party on Saturday.","And Helen, I expect to see you at the party on Saturday",1.0,100%
221,"00:17:44,160","00:17:46,561",Dr. Helen Cho,"Unlike you, I don't have a lot of time for parties.","Unlike you, I don't have a lot of time for parties",1.0,100%
222,"00:17:48,040","00:17:49,804",Dr. Helen Cho,Will Thor be there?,Will Thor be there,1.0,100%
223,"00:17:51,880","00:17:54,326",Bruce Banner,What's the rumpus?,What's the rumpus,1.0,100%
224,"00:17:51,880","00:17:54,326",Tony Stark,"Well, the sceptre.","Well, the scepter",0.92,90% - 99%
225,"00:17:55,520","00:17:59,127",Tony Stark,"You see, we were wondering how Strucker got so inventive.","You see, we were wondering how Strucker got so inventive",1.0,100%
226,"00:17:59,240","00:18:03,165",Dr. Helen Cho,So I've been analysing the gem inside.,"Unlike you, I don't have a lot of time for parties",0.78,< 80%
227,"00:18:03,720","00:18:05,688",Dr. Helen Cho,You may recognise...,Your own girlfriend won't be able to tell the difference,0.79,< 80%
