,line,start,end
347,"If I had known it was gonna be a firefight, I absolutely would have called.","00:24:25,240","00:24:28,120"
348,"No, no. I'm not actually sorry.","00:24:28,240","00:24:31,565"
349,I'm just trying to sound tough.,"00:24:28,240","00:24:31,565"
350,I'm very happy chasing cold leads on our missing persons case.,"00:24:32,160","00:24:35,843"
351,Avenging is your world.,"00:24:36,800","00:24:38,723"
352,Your world is crazy.,"00:24:39,880","00:24:41,723"
353,Be it ever so humble.,"00:24:41,880","00:24:43,370"
354,You find a place in Brooklyn yet?,"00:24:43,880","00:24:45,245"
355,I don't think I can afford a place in Brooklyn.,"00:24:45,400","00:24:47,240"
356,"Well, home is home, you know?","00:24:47,880","00:24:49,041"
357,"I fly right up to the general's palace, I drop it at his feet, I'm, like, Boom. You looking for this?","00:24:52,960","00:24:57,160"
358,I gotta have some of that.,"00:25:02,960","00:25:04,121"
359,"No, no, no. See this...","00:25:04,240","00:25:06,234"
360,"This was aged for 1,000 years","00:25:06,319","00:25:09,006"
361,in the barrels built from the wreck of Grunhel's fleet.,"00:25:09,120","00:25:11,930"
362,It is not meant for mortal men.,"00:25:12,080","00:25:13,764"
363,"Neither was Omaha Beach, blondie.","00:25:13,880","00:25:15,882"
364,Stop trying to scare us. Come on.,"00:25:16,000","00:25:18,287"
365,All right.,"00:25:20,120","00:25:21,565"
366,Excelsior.,"00:25:25,480","00:25:27,926"
367,How'd a nice girl like you wind up working in a dump like this?,"00:25:34,800","00:25:38,122"
368,Fella done me wrong.,"00:25:39,680","00:25:41,648"
369,"You got lousy taste in men, kid.","00:25:42,640","00:25:44,802"
370,He's not so bad.,"00:25:45,280","00:25:47,203"
371,"Well, he has a temper.","00:25:48,280","00:25:50,408"
372,"Deep down, he's all fluff.","00:25:50,520","00:25:52,488"
373,"Fact is, he's not like anybody I've ever known.","00:25:54,520","00:25:56,602"
374,All my friends are fighters.,"00:25:59,760","00:26:01,683"
375,"And here comes this guy, spends his life avoiding the fight because he knows he'll win.","00:26:04,520","00:26:11,011"
376,Sounds amazing.,"00:26:11,840","00:26:14,491"
377,He's also a huge dork.,"00:26:11,840","00:26:14,491"
378,Chicks dig that.,"00:26:16,640","00:26:18,290"
379,So what do you think?,"00:26:19,880","00:26:23,123"
380,"Should I fight this, or run with it?","00:26:19,880","00:26:24,446"
381,"Run with it, right? Or did he... Was he...","00:26:26,000","00:26:28,844"
382,What did he do that was so wrong to you?,"00:26:28,960","00:26:32,123"
383,Not a damn thing.,"00:26:32,800","00:26:34,564"
384,But never say never.,"00:26:36,120","00:26:38,043"
385,It's nice.,"00:26:42,200","00:26:43,440"
386,What is?,"00:26:43,560","00:26:44,766"
387,You and Romanoff.,"00:26:44,880","00:26:45,881"
388,"No, we haven't... That wasn't...","00:26:46,040","00:26:47,121"
389,It's okay.,"00:26:47,240","00:26:48,287"
390,Nobody's breaking any bylaws.,"00:26:48,400","00:26:50,448"
391,It's just she's not the most open person in the world.,"00:26:50,560","00:26:53,882"
392,But with you she seems very relaxed.,"00:26:54,520","00:26:56,045"
393,"No. Natasha, she's just...","00:26:56,440","00:26:59,728"
394,She likes to flirt.,"00:26:56,440","00:26:59,728"
395,"I've seen her flirt, up close.","00:27:00,360","00:27:02,647"
396,This ain't that.,"00:27:03,680","00:27:04,727"
397,"Look, as maybe the world's leading authority on waiting too long, don't.","00:27:06,680","00:27:12,007"
398,You both deserve a win.,"00:27:13,720","00:27:15,131"
399,What do you mean up close?,"00:27:20,400","00:27:21,520"
400,But it's a trick.,"00:27:23,360","00:27:25,886"
401,"No, no, it's much more than that.","00:27:23,360","00:27:25,886"
402,Whosoever be he worthy shall haveth the power.,"00:27:26,080","00:27:29,289"
403,"Whatever, man! It's a trick.","00:27:29,400","00:27:30,526"
404,"Please, be my guest.","00:27:31,920","00:27:33,206"
405,Come on.,"00:27:34,720","00:27:35,767"
406,Really?,"00:27:34,720","00:27:35,767"
407,Yeah.,"00:27:35,920","00:27:37,046"
408,This is gonna be beautiful.,"00:27:37,560","00:27:38,527"
409,"Clint, you've had a tough week.","00:27:38,600","00:27:39,647"
410,We won't hold it against you if you can't get it up.,"00:27:39,800","00:27:41,245"
411,"You know I've seen this before, right?","00:27:41,400","00:27:43,164"
412,I still don't know how you do it!,"00:27:46,280","00:27:49,090"
413,Smell the silent judgement?,"00:27:49,600","00:27:50,680"
414,"Please, Stark, by all means.","00:27:50,760","00:27:51,880"
415,Okay.,"00:27:53,800","00:27:54,847"
416,Never one to shrink from an honest challenge.,"00:27:56,440","00:27:58,442"
417,Get after it.,"00:27:58,600","00:28:00,090"
418,It's physics.,"00:27:58,600","00:28:00,090"
419,Physics.,"00:28:00,280","00:28:01,281"
420,"Right, so, if I lift it, I then rule Asgard?","00:28:01,400","00:28:03,767"
421,"Yes, of course.","00:28:03,920","00:28:05,445"
422,I will be reinstituting prima nocta.,"00:28:05,600","00:28:07,967"
423,I'll be right back.,"00:28:12,920","00:28:14,206"
424,Are you even pulling?,"00:28:21,560","00:28:22,607"
425,Are you on my team?,"00:28:22,760","00:28:23,807"
426,Just represent. Pull.,"00:28:23,960","00:28:24,961"
427,"All right, let's go.","00:28:25,080","00:28:26,286"
